열차번호,호선,방향,역사명,급행코드,도착역,예정시간,실제시간,지연시간(분)
8056,8,UP,단대오거리,0,별내,2025-05-29 07:35:40,2025-05-29 07:30:22,-5.3
8056,8,UP,"남한산성입구(성남법원,검찰청)",0,별내,2025-05-29 07:37:20,2025-05-29 07:30:22,-6.966666666666667
3061,3,DOWN,백석,0,수서,2025-05-29 07:30:30,2025-05-29 07:30:23,-0.11666666666666667
6029,6,DOWN,한강진,0,봉화산,2025-05-29 07:30:30,2025-05-29 07:30:23,-0.11666666666666667
6039,6,DOWN,구산,0,신내,2025-05-29 07:30:20,2025-05-29 07:30:23,0.05
8027,8,DOWN,가락시장,0,모란,2025-05-29 07:32:00,2025-05-29 07:30:25,-1.5833333333333333
8027,8,DOWN,송파,0,모란,2025-05-29 07:30:10,2025-05-29 07:30:25,0.25
8029,8,DOWN,문정,0,모란,2025-05-29 07:38:50,2025-05-29 07:30:25,-8.416666666666666
8029,8,DOWN,가락시장,0,모란,2025-05-29 07:37:00,2025-05-29 07:30:25,-6.583333333333333
8029,8,DOWN,송파,0,모란,2025-05-29 07:35:10,2025-05-29 07:30:25,-4.75
8027,8,DOWN,문정,0,모란,2025-05-29 07:33:50,2025-05-29 07:30:25,-3.4166666666666665
5512,5,UP,영등포시장,0,방화,2025-05-29 07:30:10,2025-05-29 07:30:27,0.2833333333333333
5042,5,UP,상일동,0,방화,2025-05-29 07:30:00,2025-05-29 07:30:28,0.4666666666666667
8034,8,UP,별내,0,별내,2025-05-29 07:31:00,2025-05-29 07:30:28,-0.5333333333333333
4514,4,UP,한성대입구,0,불암산,2025-05-29 07:33:30,2025-05-29 07:30:30,-3.0
420,1,UP,명학,0,청량리,2025-05-29 07:31:00,2025-05-29 07:30:30,-0.5
4422,4,UP,경마공원,0,불암산,2025-05-29 07:30:00,2025-05-29 07:30:30,0.5
4518,4,UP,신용산,0,불암산,2025-05-29 07:30:00,2025-05-29 07:30:31,0.5166666666666667
1022,1,UP,신도림,1,용산,2025-05-29 07:30:00,2025-05-29 07:30:31,0.5166666666666667
8025,8,DOWN,장지,0,모란,2025-05-29 07:30:10,2025-05-29 07:30:32,0.36666666666666664
8031,8,DOWN,송파,0,모란,2025-05-29 07:40:40,2025-05-29 07:30:33,-10.116666666666667
4308,4,UP,정부과천청사,0,불암산,2025-05-29 07:30:30,2025-05-29 07:30:34,0.06666666666666667
8048,8,UP,잠실,0,별내,2025-05-29 07:36:00,2025-05-29 07:30:37,-5.383333333333334
8046,8,UP,몽촌토성(평화의문),0,별내,2025-05-29 07:33:30,2025-05-29 07:30:37,-2.8833333333333333
968,1,UP,동두천중앙,0,동두천,2025-05-29 07:30:30,2025-05-29 07:30:37,0.11666666666666667
8048,8,UP,몽촌토성(평화의문),0,별내,2025-05-29 07:38:00,2025-05-29 07:30:37,-7.383333333333334
415,1,DOWN,안양,0,병점,2025-05-29 07:31:00,2025-05-29 07:30:39,-0.35
3050,3,UP,삼송,0,대화,2025-05-29 07:31:00,2025-05-29 07:30:40,-0.3333333333333333
7073,7,DOWN,마들,0,온수,2025-05-29 07:30:20,2025-05-29 07:30:41,0.35
7065,7,DOWN,면목,0,온수,2025-05-29 07:30:40,2025-05-29 07:30:41,0.016666666666666666
623,1,DOWN,시청,0,신창,2025-05-29 07:30:30,2025-05-29 07:30:43,0.21666666666666667
41,1,DOWN,동묘앞,0,인천,2025-05-29 07:30:00,2025-05-29 07:30:43,0.7166666666666667
6043,6,DOWN,불광,0,봉화산,2025-05-29 07:30:50,2025-05-29 07:30:45,-0.08333333333333333
47,1,DOWN,망월사,0,부평,2025-05-29 07:31:00,2025-05-29 07:30:45,-0.25
